0;0;-;
0;1;25;138-218;0
0;2;25;219-299;0
0;3;25;57-137;1
1;0;20;243-323;0
1;1;19;138-218;0
1;2;20;324-404;1
1;3;20;162-242;0
2;0;20;324-404;1
2;1;19;57-137;0
2;2;21;381-461;0
2;3;20;81-161;0
3;0;21;381-461;0
3;1;18/19;486-509/0-56;0
3;2;17;219-299;0
3;3;20;0-80;0
4;0;-;
4;1;25;57-137;1
4;2;25;300-380;0
4;3;24;0-80;1
5;0;25;300-380;0
5;1;24/25;486-509/0-56;0
5;2;24;405-485;0
5;3;24;81-161;1
6;0;20;405-485;1
6;1;20;81-161;0
6;2;21;300-380;0
6;3;20/21;486-509/0-56;1
7;0;21;300-380;0
7;1;20;0-80;0
7;2;17;138-218;0
7;3;21;57-137;1
8;0;-;
8;1;24;0-80;1
8;2;25;381-461;0
8;3;30/31;486-509/0-56;1
9;0;25;381-461;0
9;1;24;81-161;1
9;2;24;324-404;0
9;3;31;57-137;1
10;0;24;324-404;1
10;1;24;162-242;1
10;2;24;243-323;0
10;3;31;138-218;1
11;0;21;219-299;0
11;1;21;57-137;1
11;2;17;57-137;0
11;3;21;138-218;0