0;0;1;18;0-80;1
0;0;3;18;81-161;1
0;0;5;18;162-242;1
0;0;7;18;243-323;1
0;0;9;18;324-404;1
0;0;11;18;405-485;1
0;1;0;4;0-80;1
0;1;2;5;57-137;0
0;1;4;5;138-218;1
0;1;6;6;0-80;1
0;1;8;7;57-137;0
0;1;10;7;138-218;1
0;1;12;17;219-299;0
0;2;1;2;0-80;1
0;2;3;2;81-161;1
0;2;5;2;162-242;1
0;2;7;2;243-323;1
0;2;9;2;321-404;1
0;2;11;2;405-485;1
0;3;0;4;81-161;1
0;3;2;4/5;486-509/0-56;0
0;3;4;5;219-299;1
0;3;6;6;81-161;1
0;3;8;6/7;486-509/0-56;0
0;3;10;7;219-299;1
0;3;12;17;138-218;0
0;4;1;-;
0;4;3;-;
0;4;5;-;
0;4;7;-;
0;4;9;-;
0;4;11;-;
0;5;0;4;162-242;1
0;5;2;4;324-404;0
0;5;4;5;200-381;1
0;5;6;6;162-242;1
0;5;8;6;405-485;0
0;5;10;7;200-230;1
0;5;12;17;57-137;0
0;6;1;-;
0;6;3;-;
0;6;5;-;
0;6;7;-;
0;6;9;-;
0;6;11;-;
0;7;0;4;243-323;1
0;7;2;4;324-404;0
0;7;4;5;381-461;1
0;7;6;6;243-323;1
0;7;8;6;324-404;0
0;7;10;7;381-461;1
0;7;12;16/17;486-509/0-56;0
0;8;1;16;0-80;1
0;8;3;16;81-161;1
0;8;5;16;162-242;1
0;8;7;16;243-323;1
0;8;9;16;324-404;1
0;8;11;16;405-485;1
1;0;0;12;0-80;1
1;0;2;-;
1;0;4;-;
1;0;6;14;0-80;1
1;0;8;15;57-137;0
1;0;10;15;138-218;1
1;0;12;18/19;486-509/0-56;1
2;0;1;8;0-80;1
2;0;3;8;81-161;1
2;0;5;8;162-242;1
2;0;7;8;243-323;1
2;0;9;8;324-404;1
2;0;11;8;405-485;1
3;0;0;-;
3;0;2;-;
3;0;4;-;
3;0;6;14;81-161;1
3;0;8;14/15;486-509/0-56;0
3;0;10;15;219-299;1
3;0;12;19;57-137;1
4;0;1;9;381-461;0
4;0;3;9;300-380;0
4;0;5;9;219-299;0
4;0;7;9;138-218;0
4;0;9;9;57-137;0
4;0;11;8/9;486-509/0-56;0
5;0;0;-;
5;0;2;-;
5;0;4;-;
5;0;6;14;162-242;1
5;0;8;14;405-485;0
5;0;10;15;300-381;1
5;0;12;19;138-218;1
6;0;1;10;0-80;1
6;0;3;10;81-161;1
6;0;5;10;162-242;1
6;0;7;10;243-323;1
6;0;9;10;324-404;1
6;0;11;10;405-485;1
7;0;0;-;
7;0;2;-;
7;0;4;-;
7;0;6;14;243-323;1
7;0;8;14;324-404;0
7;0;10;15;381-461;1
7;0;12;19;219-299;1
8;0;1;11;381-461;0
8;0;3;11;300-380;0
8;0;5;11;219-299;0
8;0;7;11;138-218;0
8;0;9;11;57-137;0
8;0;11;10/11;486-509/0-56;0
10;2;1;-;
10;2;3;-;
10;2;5;-;
10;2;7;-;
10;2;9;-;
10;2;11;-;
10;3;0;32;243-323;0
10;3;2;32;324-404;1
10;3;4;33;381-461;0
10;3;6;34;243-323;0
10;3;8;34;324-404;1
10;3;10;35;381-461;0
10;3;12;-;
10;4;1;24;0-80;1
10;4;3;24;81-161;1
10;4;5;24;162-242;1
10;4;7;24;243-323;1
10;4;9;24;324-404;1
10;4;11;24;405-485;1
10;5;0;32;162-242;0
10;5;2;32;405-485;1
10;5;4;33;300-380;0
10;5;6;34;162-242;0
10;5;8;34;405-485;1
10;5;10;35;300-380;0
10;5;12;-;
10;6;1;-;
10;6;3;-;
10;6;5;-;
10;6;7;-;
10;6;9;-;
10;6;11;24/25;486-509/0-56;0
10;7;0;32;81-161;0
10;7;2;32/33;486-509/0-56;1
10;7;4;33;219-299;0
10;7;6;34;81-161;0
10;7;8;34/35;486-509/0-56;1
10;7;10;35;219-299;0
10;7;12;-;
10;8;1;26;0-80;1
10;8;3;26;81-161;1
10;8;5;26;162-242;1
10;8;7;26;243-323;1
10;8;9;26;324-404;1
10;8;11;26;405-485;1
10;9;0;32;0-80;0
10;9;2;33;57-137;1
10;9;4;33;138-218;0
10;9;6;34;0-80;0
10;9;8;35;57-137;1
10;9;10;35;138-218;0
10;9;12;-;
10;10;1;30;0-80;1
10;10;3;30;81-161;1
10;10;5;30;162-242;1
10;10;7;30;243-323;1
10;10;9;30;324-404;1
10;10;11;30;405-485;1
2;10;1;31;380-461;0
2;10;3;31;300-380;0
2;10;5;31;219-299;0
2;10;7;31;138-218;0
2;10;9;31;57-137;0
2;10;11;30/31;486-509/0-56;0
3;10;0;36;243-323;0
3;10;2;36;324-404;1
3;10;4;37;381-461;0
3;10;6;38;243-323;0
3;10;8;38;324-404;1
3;10;10;39;381-461;0
3;10;12;31;219-299;0
4;10;1;30;0-80;1
4;10;3;30;81-161;1
4;10;5;30;162-242;1
4;10;7;30;243-323;1
4;10;9;30;324-404;1
4;10;11;30;405-485;1
5;10;0;36;162-242;0
5;10;2;36;405-485;1
5;10;4;37;300-380;0
5;10;6;38;162-242;0
5;10;8;38;405-485;1
5;10;10;39;300-380;0
5;10;12;31;138-218;0
6;10;1;29;381-461;0
6;10;3;29;300-380;0
6;10;5;29;219-299;0
6;10;7;29;138-218;0
6;10;9;29;57-137;0
6;10;11;28/29;486-509/0-56;0
7;10;0;36;81-161;0
7;10;2;36/37;486-509/0-56;1
7;10;4;37;219-299;0
7;10;6;38;81-161;0
7;10;8;38/39;486-509/0-56;1
7;10;10;39;219-299;0
7;10;12;31;57-137;0
8;10;1;28;0-80;1
8;10;3;28;81-161;1
8;10;5;28;162-242;1
8;10;7;28;243-323;1
8;10;9;28;324-404;1
8;10;11;28;405-485;1
9;10;0;36;0-80;0
9;10;2;37;57-137;1
9;10;4;37;138-218;0
9;10;6;38;0-80;0
9;10;8;39;57-137;1
9;10;10;39;138-218;0
9;10;12;30/31;486-509/0-56;0
1;2;12;20;0-80;1
1;4;12;21;57-137;0
1;6;12;21;138-218;1
2;1;12;21;381-461;0
2;3;12;21;300-380;0
2;5;12;21;219-299;0
3;2;12;20;81-161;1
3;4;12;20/21;486-509/0-56;0
4;1;12;20;324-404;1
4;3;12;20;405-485;1
5;2;12;20;162-242;1
6;1;12;20;243-323;0
8;9;12;25;381-461;1
6;9;12;24;324-404;0
4;9;12;24;243-323;1
9;8;12;24;0-80;0
7;8;12;24;81-161;0
5;8;12;24;162-242;0
8;7;12;25;300-380;1
6;7;12;24;405-485;0
9;6;12;25;57-137;1
7;6;12;24/25;486-509/0-56;1
8;5;12;25;219-299;1
9;4;12;25;138-218;0
1;2;0;23;381-461;0
1;4;0;22;324-404;1
1;6;0;22;243-323;0
2;1;0;22;0-80;1
2;3;0;22;81-161;1
2;5;0;22;162-242;1
3;2;0;23;300-380;0
3;4;0;22;405-485;1
4;1;0;23;57-137;0
4;3;0;22/23;486-509/0-56;0
5;2;0;23;219-299;0
6;1;0;23;138-218;1
8;9;0;44;0-80;0
6;9;0;45;57-137;1
4;9;0;45;138-218;0
9;8;0;45;381-461;1
7;8;0;45;300-380;1
5;8;0;45;219-299;1
8;7;0;44;81-161;0
6;7;0;44/45;486-509/0-56;1
9;6;0;44;324-404;0
7;6;0;44;405-485;0
8;5;0;44;162-242;0
9;4;0;44;243-323;1